wav_filename,dataProcessedBy,dateAdded,speakerPrefix,gender,wav_filesize,duration_seconds,codeSwitch,needsFurtherCheck,transcript,original_transcript,sandbox,date,speakerCode,speakerGender,transcript_clean
BP-RRBPKB1-055.wav,user,20260629.0,BP,m,140114,4.376125,,,māmārie ꞌua atu ei tāna kōkōꞌanga,Māmārie ꞌua atu ei tāna kōkōꞌanga. ,,,,,
BP-RRBPKB1-056.wav,user,20260629.0,BP,m,111018,3.466875,,,tei runga a chris i tētaꞌi motu,Tei runga a Chris i tētaꞌi motu,,,,,
BP-RRBPKB1-057.wav,user,20260629.0,BP,m,39178,1.221875,,,ko moturiki,ko Moturiki,,,,,
BP-RRBPKB1-058.wav,user,20260629.0,BP,m,55094,1.71925,,,i vītī:,i Vītī:,,,,,
BP-RRBPKB1-059.wav,user,20260629.0,BP,m,46908,1.4634375,,,ꞌe ngāꞌi,ꞌe ngāꞌi,,,,,
BP-RRBPKB1-060.wav,user,20260629.0,BP,m,95104,2.9695625,,,kua tauatini tauatini mataꞌiti,kua tauatini tauatini mataꞌiti,,,,,
BP-RRBPKB1-061.wav,user,20260629.0,BP,m,86464,2.6995625,,,te noꞌoꞌiaꞌanga e te tangata,te noꞌoꞌiaꞌanga e te tangata.,,,,,
BP-RRBPKB1-063.wav,user,20260629.0,BP,m,77372,2.4154375,,,tei te ꞌakapae mārie a chris,Tei te ꞌakapae mārie a Chris,,,,,
BP-RRBPKB1-064.wav,user,20260629.0,BP,m,91920,2.8700625,,,i te au papaꞌanga one,i te au papaꞌanga one.,,,,,
BP-RRBPKB1-065.wav,user,20260629.0,BP,m,115108,3.5946875,,,tē ꞌinangaro ra aia i te kite ē,"Tē ꞌinangaro ra aia i te kite ē,",,,,,
BP-RRBPKB1-066.wav,user,20260629.0,BP,m,65096,2.0318125,,,ꞌe aꞌa tō raro ake,ꞌe aꞌa tō raro ake.,,,,,
BP-RRBPKB1-068.wav,user,20260629.0,BP,m,46454,1.44925,,,tē ꞌinangaro ra aia,Tē ꞌinangaro ra aia,,,,,
BP-RRBPKB1-069.wav,user,20260629.0,BP,m,42818,1.335625,,,kia kite ē,"kia kite ē,",,,,,
BP-RRBPKB1-070.wav,user,20260629.0,BP,m,61002,1.903875,,,mei te aꞌa te tū,mei te aꞌa te tū,,,,,
BP-RRBPKB1-071.wav,user,20260629.0,BP,m,44182,1.37825,,,o te oraꞌanga,o te oraꞌanga,,,,,
BP-RRBPKB1-072.wav,user,20260629.0,BP,m,51910,1.61975,,,o te ꞌiti tangata,o te ꞌiti tangata,,,,,
BP-RRBPKB1-073.wav,user,20260629.0,BP,m,38270,1.1935,,,o moturiki,o Moturiki,,,,,
BP-RRBPKB1-074.wav,user,20260629.0,BP,m,95102,2.9695,,,i te au tauatini mataꞌiti tei topa ki muri,i te au tauatini mataꞌiti tei topa ki muri.,,,,,
BP-RRBPKB1-076.wav,user,20260629.0,BP,m,58730,1.832875,,,ko chris ē tōna pupu,"Ko Chris ē tōna pupu,",,,,,
BP-RRBPKB1-077.wav,user,20260629.0,BP,m,157848,4.9303125,,,ꞌe au taꞌunga rātou nō te ꞌākairo oraꞌanga,ꞌe au taꞌunga rātou nō te ꞌākairo oraꞌanga.  ,,,,,
BP-RRBPKB1-078.wav,user,20260629.0,BP,m,55092,1.7191875,,,ko tā rātou ꞌangaꞌanga,"Ko tā rātou ꞌangaꞌanga,",,,,,
BP-RRBPKB1-079.wav,user,20260629.0,BP,m,144662,4.51825,,,e ꞌākara matatio i te au ꞌapinga o te au ꞌiti tangata,e ꞌākara matatio i te au ꞌapinga o te au ꞌiti tangata,,,,,
BP-RRBPKB1-080.wav,user,20260629.0,BP,m,63732,1.9891875,,,o te tuātau mua,o te tuātau mua.,,,,,
BP-RRBPKB1-081.wav,user,20260629.0,BP,m,76462,2.387,,,i tētaꞌi taime,I tētaꞌi taime,,,,,
BP-RRBPKB1-082.wav,user,20260629.0,BP,m,67368,2.1028125,,,ka pou ngā epetomo,ka pou ngā epetomo,,,,,
BP-RRBPKB1-083.wav,user,20260629.0,BP,m,112380,3.5094375,,,i te kōkō ꞌuaꞌanga te tangata,i te kōkō ꞌuaꞌanga te tangata.,,,,,
BP-RRBPKB1-085.wav,user,20260629.0,BP,m,92376,2.8843125,,,kāre rāi ꞌe ꞌapinga e kitea mai,Kāre rāi ꞌe ꞌapinga e kitea mai,,,,,
BP-RRBPKB1-086.wav,user,20260629.0,BP,m,59640,1.8613125,,,ꞌei tauturu i a rātou,ꞌei tauturu i a rātou.,,,,,
BP-RRBPKB1-087.wav,user,20260629.0,BP,m,49182,1.5345,,,inārā,"Inārā,",,,,,
BP-RRBPKB1-088.wav,user,20260629.0,BP,m,56910,1.776,,,i taua rā ra,i taua rā ra ,,,,,
BP-RRBPKB1-089.wav,user,20260629.0,BP,m,92376,2.8843125,,,kua kite a chris i tētaꞌi ꞌapinga ūmere:,kua kite a Chris i tētaꞌi ꞌapinga ūmere: ,,,,,
BP-RRBPKB1-090.wav,user,20260629.0,BP,m,139206,4.34775,,,ꞌe ivi kōpapa nō tētaꞌi vaꞌine inā,"ꞌe ivi kōpapa nō tētaꞌi vaꞌine. Inā,",,,,,
BP-RRBPKB1-092.wav,user,20260629.0,BP,m,100560,3.1400625,,,kua tūtaka ꞌaere taua pupu tangata ra,kua tūtaka ꞌaere taua pupu tangata ra,,,,,
BP-RRBPKB1-093.wav,user,20260629.0,BP,m,32358,1.00875,,,i te one,i te one,,,,,
BP-RRBPKB1-094.wav,user,20260629.0,BP,m,39180,1.2219375,,,i tōna pae,"i tōna pae,",,,,,
BP-RRBPKB1-096.wav,user,20260629.0,BP,m,56456,1.7618125,,,pērā katoa,pērā katoa,,,,,
BP-RRBPKB1-097.wav,user,20260629.0,BP,m,72370,2.259125,,,tō runga atu i aia,tō runga atu i aia.,,,,,
BP-RRBPKB1-099.wav,user,20260629.0,BP,m,68732,2.1454375,,,tā rātou tāmanakoꞌanga,"Tā rātou tāmanakoꞌanga,",,,,,
BP-RRBPKB1-100.wav,user,20260629.0,BP,m,98740,3.0831875,,,e toru tauatini mataꞌiti paꞌa te roa,e toru tauatini mataꞌiti paꞌa te roa,,,,,
BP-RRBPKB1-101.wav,user,20260629.0,BP,m,129658,4.049375,,,e 3000 mataꞌiti paꞌa te roa,e 3000 mataꞌiti paꞌa te roa,,,,,
BP-RRBPKB1-102.wav,user,20260629.0,BP,m,111018,3.466875,,,ki te maꞌataꞌanga o te ꞌiti tangata patipika,Ki te maꞌataꞌanga o te ꞌiti tangata Patipika,,,,,
BP-RRBPKB1-103.wav,user,20260629.0,BP,m,61458,1.918125,,,ꞌe tupuna aia,"ꞌe tupuna aia,",,,,,
BP-RRBPKB1-104.wav,user,20260629.0,BP,m,107834,3.367375,,,nō rēira i pati ei te pupu ꞌangaꞌanga,nō rēira i pati ei te pupu ꞌangaꞌanga,,,,,
BP-RRBPKB1-105.wav,user,20260629.0,BP,m,131022,4.092,,,ki te ariki o te reira ngāꞌi,"ki te ariki o te reira ngāꞌi, ",,,,,
BP-RRBPKB1-106.wav,user,20260629.0,BP,m,118290,3.694125,,,i tētaꞌi tikaꞌanga kia rave ꞌua atu rāi rātou,i tētaꞌi tikaꞌanga kia rave ꞌua atu rāi rātou,,,,,
BP-RRBPKB1-107.wav,user,20260629.0,BP,m,57822,1.8045,,,i te reira ꞌangaꞌanga,i te reira ꞌangaꞌanga.,,,,,
BP-RRBPKB1-109.wav,user,20260629.0,BP,m,67824,2.1170625,,,kua tapaꞌia e chris,Kua tapaꞌia e Chris,,,,,
BP-RRBPKB1-110.wav,user,20260629.0,BP,m,116472,3.6373125,,,tētaꞌi ingoa tei tau nō tēia vaꞌine,tētaꞌi ingoa tei tau nō tēia vaꞌine.,,,,,
BP-RRBPKB1-111.wav,user,20260629.0,BP,m,61914,1.932375,,,ko mana,Ko Mana.,,,,,
BP-RRBPKB1-112.wav,user,20260629.0,BP,m,164666,5.143375,,,tēia te ꞌāiteꞌanga i roto i tōna reo pā ꞌenua tolomona,"Tēia te ꞌāiteꞌanga i roto i tōna reo Pā ꞌEnua Tolomona,",,,,,
BP-RRBPKB1-113.wav,user,20260629.0,BP,m,82828,2.5859375,,,ko te tikaꞌanga,ko te tikaꞌanga,,,,,
BP-RRBPKB1-114.wav,user,20260629.0,BP,m,100560,3.1400625,,,ꞌe mea tau tikāi tēia ingoa,ꞌE mea tau tikāi tēia ingoa,,,,,
BP-RRBPKB1-115.wav,user,20260629.0,BP,m,195584,6.1095625,,,nō te mea e tuatua puꞌapinga tēia i roto i te au pā ꞌenua patipika,"nō te mea, e tuatua puꞌapinga tēia i roto i te au Pā ꞌEnua Patipika. ",,,,,
BP-RRBPKB1-117.wav,user,20260629.0,BP,m,127386,3.978375,,,ꞌāpiꞌiꞌanga nō te tuātau mua,ꞌĀpiꞌiꞌanga nō te tuātau mua,,,,,
BP-RRBPKB1-118.wav,user,20260629.0,BP,m,188764,5.8964375,,,noa atu rāi ē kāre e rauka i a mana i te tuatua mai,Noa atu rāi ē kāre e rauka i a Mana i te tuatua mai,,,,,
BP-RRBPKB1-119.wav,user,20260629.0,BP,m,52364,1.6339375,,,ki a tātou,ki a tātou,,,,,
BP-RRBPKB1-120.wav,user,20260629.0,BP,m,173306,5.413375,,,ka rauka i a tātou i te kimi i te tū o tōna oraꞌanga,ka rauka i a tātou i te kimi i te tū o tōna oraꞌanga.,,,,,
BP-RRBPKB1-121.wav,user,20260629.0,BP,m,101924,3.1826875,,,ꞌe maꞌata te au tū rāvenga nō te reira,ꞌE maꞌata te au tū rāvenga nō te reira,,,,,
BP-RRBPKB1-122.wav,user,20260629.0,BP,m,81008,2.5290625,,,nō te raveꞌanga i tēia ꞌangaꞌanga,nō te raveꞌanga i tēia ꞌangaꞌanga.,,,,,
BP-RRBPKB1-123.wav,user,20260629.0,BP,m,63732,1.9891875,,,tētaꞌi rāvenga,Tētaꞌi rāvenga,,,,,
BP-RRBPKB1-124.wav,user,20260629.0,BP,m,113744,3.5520625,,,e mārama ai tātou i te tū o te tuātau mua,"e mārama ai tātou i te tū o te tuātau mua,",,,,,
BP-RRBPKB1-125.wav,user,20260629.0,BP,m,215136,6.7205625,,,ko te kōkō ꞌaere ki kia kitea mai tētaꞌi au ꞌapinga,ko te kōkō ꞌaere ki- kia kitea mai tētaꞌi au ꞌapinga ,,,,,
BP-RRBPKB1-126.wav,user,20260629.0,BP,m,95104,2.9695625,,,kua roa te tuātau ki roto i te one,kua roa te tuātau ki roto i te one.,,,,,
BP-RRBPKB1-127.wav,user,20260629.0,BP,m,78280,2.4438125,,,ko tā chris ꞌangaꞌanga tēia,"Ko tā Chris ꞌangaꞌanga tēia,",,,,,
BP-RRBPKB1-128.wav,user,20260629.0,BP,m,85100,2.6569375,,,ē ko te rāvenga e puꞌapinga ai,"ē ko te rāvenga e puꞌapinga ai,",,,,,
BP-RRBPKB1-129.wav,user,20260629.0,BP,m,170578,5.328125,,,kia maꞌata tāna koꞌikoꞌi mai i te au ꞌapinga takere mei kō mai,kia maꞌata tāna koꞌikoꞌi mai i te au ꞌapinga takere mei kō mai,,,,,
BP-RRBPKB1-130.wav,user,20260629.0,BP,m,70098,2.188125,,,i tētaꞌi atu,i tētaꞌi atu,,,,,
BP-RRBPKB1-131.wav,user,20260629.0,BP,m,50090,1.562875,,,au ngāꞌi,au ngāꞌi-,,,,,
BP-RRBPKB1-132.wav,user,20260629.0,BP,m,63732,1.9891875,,,i tētaꞌi atu au ngāꞌi,i tētaꞌi atu au ngāꞌi,,,,,
BP-RRBPKB1-133.wav,user,20260629.0,BP,m,81464,2.5433125,,,kia taka tāna au ꞌakamārama,Kia taka tāna au ꞌakamārama,,,,,
BP-RRBPKB1-134.wav,user,20260629.0,BP,m,52364,1.6339375,,,ꞌauraka kia tūkē,ꞌauraka kia tūkē.,,,,,
BP-RRBPKB1-135.wav,user,20260629.0,BP,m,129658,4.049375,,,ꞌe maꞌata te au rāvenga nō te ꞌākara matatio,ꞌE maꞌata te au rāvenga nō te ꞌākara matatio,,,,,
BP-RRBPKB1-136.wav,user,20260629.0,BP,m,119200,3.7225625,,,i te au ꞌakonoꞌanga o te tuātau mua,i te au ꞌakonoꞌanga o te tuātau mua.,,,,,
BP-RRBPKB1-137.wav,user,20260629.0,BP,m,123294,3.8505,,,inā i kitea a mana e chris suri,"Inā, i kitea a Mana e Chris Suri",,,,,
BP-RRBPKB1-138.wav,user,20260629.0,BP,m,238322,7.445125,,,i aia e kimi ꞌaere ra ꞌaere ra i tētaꞌi au ꞌapinga takere:,i aia e kimi ꞌaere_ra-ꞌaere ra i tētaꞌi au ꞌapinga takere: ,,,,,
BP-RRBPKB1-139.wav,user,20260629.0,BP,m,154666,4.830875,,,te ꞌapinga mei tei maꞌaniꞌia e te tangata,te ꞌapinga mei- tei maꞌaniꞌia e te tangata,,,,,
BP-RRBPKB1-140.wav,user,20260629.0,BP,m,58730,1.832875,,,ē te au toetoenga,ē te au toetoenga ,,,,,
BP-RRBPKB1-141.wav,user,20260629.0,BP,m,63276,1.9749375,,,o te ꞌapinga ora,o te ꞌapinga ora.,,,,,
BP-RRBPKB1-142.wav,user,20260629.0,BP,m,75098,2.344375,,,ko tēia te tū ravenga,Ko tēia te tū ravenga-,,,,,
BP-RRBPKB1-143.wav,user,20260629.0,BP,m,80100,2.5006875,,,ko tēia te tū raveꞌanga,Ko tēia te tū raveꞌanga,,,,,
BP-RRBPKB1-144.wav,user,20260629.0,BP,m,72824,2.2733125,,,a te ꞌakairo oraꞌanga,a te ꞌakairo oraꞌanga.,,,,,
BP-RRBPKB1-145.wav,user,20260629.0,BP,m,121928,3.8078125,,,ko te ꞌakakoroꞌanga ia o te ꞌakairo oraꞌanga,Ko te ꞌakakoroꞌanga ia o te ꞌakairo oraꞌanga. ,,,,,
BP-RRBPKB1-146.wav,user,20260629.0,BP,m,164214,5.12925,,,vaitata rāi e ꞌāiteite te ꞌakakore te ꞌakairo oraꞌanga,Vaitata rāi e ꞌāiteite te ꞌakakore- te ꞌakairo oraꞌanga,,,,,
BP-RRBPKB1-147.wav,user,20260629.0,BP,m,108742,3.39575,,,ē te ꞌāpiꞌi ꞌakonoꞌanga ꞌiti tangata,"ē te ꞌāpiꞌi ꞌakonoꞌanga ꞌiti tangata,",,,,,
BP-RRBPKB1-148.wav,user,20260629.0,BP,m,58276,1.8186875,,,koia ꞌoki,"koia ꞌoki,",,,,,
BP-RRBPKB1-149.wav,user,20260629.0,BP,m,109198,3.41,,,te ꞌāpiꞌi nō runga i te tupuꞌanga ake o te tangata,te ꞌāpiꞌi nō runga i te tupuꞌanga ake o te tangata.,,,,,
BP-RRBPKB1-150.wav,user,20260629.0,BP,m,88738,2.770625,,,e kimi ana te au taꞌunga,E kimi ana te au taꞌunga,,,,,
BP-RRBPKB1-151.wav,user,20260629.0,BP,m,87828,2.7421875,,,ꞌakonoꞌanga i te ꞌiti tangata ē,"ꞌakonoꞌanga i te ꞌiti tangata ē,",,,,,
BP-RRBPKB1-152.wav,user,20260629.0,BP,m,126476,3.9499375,,,i ꞌakapeꞌea te tupu akeꞌanga o te tangata,"i ꞌakapeꞌea te tupu akeꞌanga o te tangata,",,,,,
BP-RRBPKB1-153.wav,user,20260629.0,BP,m,92830,2.8985,,,pērā katoa tā rātou au ꞌakonoꞌanga,pērā katoa tā rātou au ꞌakonoꞌanga.,,,,,
BP-RRBPKB1-154.wav,user,20260629.0,BP,m,151936,4.7455625,,,e kimi ana rātou ē tē pēꞌea nei te oraꞌanga,E kimi ana rātou ē tē pēꞌea nei te oraꞌanga,,,,,
BP-RRBPKB1-155.wav,user,20260629.0,BP,m,68278,2.13125,,,o te tangata i tēia tuātau,"o te tangata i tēia tuātau, ",,,,,
BP-RRBPKB1-156.wav,user,20260629.0,BP,m,111472,3.4810625,,,pērā katoa i tō te tuātau mua,pērā katoa i tō te tuātau mua. ,,,,,
BP-RRBPKB1-157.wav,user,20260629.0,BP,m,58730,1.832875,,,ko tētaꞌi au tangata,"Ko tētaꞌi au tangata,",,,,,
BP-RRBPKB1-158.wav,user,20260629.0,BP,m,148754,4.646125,,,e tatau ana rātou i te au tātāꞌanga nō te tuātau mua,e tatau ana rātou i te au tātāꞌanga nō te tuātau mua.,,,,,
BP-RRBPKB1-159.wav,user,20260629.0,BP,m,179216,5.5980625,,,e ꞌākara matatio katoa aia rātou ana rātou i te ꞌangaꞌanga ꞌakairo,"E ꞌākara matatio katoa aia_rātou-ana rātou i te ꞌangaꞌanga ꞌakairo,",,,,,
BP-RRBPKB1-160.wav,user,20260629.0,BP,m,39634,1.236125,,,te imene,"te imene,",,,,,
BP-RRBPKB1-161.wav,user,20260629.0,BP,m,35542,1.10825,,,te kī,"te kī,",,,,,
BP-RRBPKB1-162.wav,user,20260629.0,BP,m,149664,4.6745625,,,ē te tuatua nō te tupuꞌanga ake o tētaꞌi ꞌiti tangata,ē te tuatua nō te tupuꞌanga ake o tētaꞌi ꞌiti tangata.  ,,,,,
BP-RRBPKB1-163.wav,user,20260629.0,BP,m,101468,3.1684375,,,ko te tupuꞌanga mai te reira,Ko te tupuꞌanga mai te reira.,,,,,
BP-RRBPKB1-164.wav,user,20260629.0,BP,m,98742,3.08325,,,mē ꞌākara matatio tātou i te au reo,"Mē ꞌākara matatio tātou i te au reo,",,,,,
BP-RRBPKB1-165.wav,user,20260629.0,BP,m,81462,2.54325,,,ka rauka mai tētaꞌi au kite,ka rauka mai tētaꞌi au kite,,,,,
BP-RRBPKB1-166.wav,user,20260629.0,BP,m,62822,1.96075,,,nō te tuātau mua,nō te tuātau mua.,,,,,
BP-RRBPKB1-167.wav,user,20260629.0,BP,m,160576,5.0155625,,,ko tēia ꞌe ꞌoꞌoraꞌanga reo,Ko tēia ꞌe ꞌoꞌoraꞌanga reo.,,,,,
BP-RRBPKB1-168.wav,user,20260629.0,BP,m,86010,2.685375,,,ka tauturu katoaꞌia mai,Ka tauturu katoaꞌia mai,,,,,
BP-RRBPKB1-169.wav,user,20260629.0,BP,m,186036,5.8111875,,,e te ꞌāpiꞌi mea ora te ꞌāpiꞌi ꞌakakeuꞌanga,"e te ꞌāpiꞌi mea ora, te ꞌāpiꞌi ꞌakakeuꞌanga, ",,,,,
BP-RRBPKB1-170.wav,user,20260629.0,BP,m,129658,4.049375,,,te ꞌāpiꞌi kēmitiri,"te ꞌāpiꞌi kēmitiri,",,,,,
BP-RRBPKB1-171.wav,user,20260629.0,BP,m,233778,7.303125,,,ē te ꞌāpiꞌi au tok ao toka i te ꞌakamārama mai i te tū o te tuātau mua,ē te ꞌāpiꞌi au_tok-ao toka i te ꞌakamārama mai i te tū o te tuātau mua.,,,,,
BP-RRBPKB1-172.wav,user,20260629.0,BP,m,118746,3.708375,,,ko te au taieni nātura te reira,Ko te au taieni nātura te reira.,,,,,
BP-RRBPKB1-174.wav,user,20260629.0,BP,m,150574,4.703,,,ko te rāvenga e mārama ai tātou i te au tuatua nō tō tātou ꞌui tūpuna,"Ko te rāvenga e mārama ai tātou i te au tuatua nō tō tātou ꞌui tūpuna,",,,,,
BP-RRBPKB1-175.wav,user,20260629.0,BP,m,115108,3.5946875,,,kia mou i a tātou tō tō rātou papaꞌanga,kia mou i a tātou tō-tō rātou papaꞌanga.,,,,,
BP-RRBPKB1-176.wav,user,20260629.0,BP,m,87374,2.728,,,nā te papaꞌanga e ꞌakakite mai,Nā te papaꞌanga e ꞌakakite mai,,,,,
BP-RRBPKB1-177.wav,user,20260629.0,BP,m,39634,1.236125,,,i te au piriꞌanga,i te au piriꞌanga,,,,,
BP-RRBPKB1-178.wav,user,20260629.0,BP,m,52364,1.6339375,,,tētaꞌi ki tētaꞌi,"tētaꞌi ki tētaꞌi,",,,,,
BP-RRBPKB1-179.wav,user,20260629.0,BP,m,70098,2.188125,,,kia kite tātou ē,"kia kite tātou ē,",,,,,
