index,sentence_id,audio,syllabary,phonetic,english,source,speaker,notes
32,ca563e90141f,Sentence_for_entry_0033.wav,ᎤᎾᎳᏍᎦᎵᏗ ᏳᏟᎢᎶᏝ *ᎠᏓᎴᏂᏍᎪ* ᎠᎾᎳᏍᎦᎵᏍᎬᎢ.,u:nalà:sgalhdi̋: yu:hlî:lő:hla *à:dale:ni:sgó* à:nalâ:sgalǐ:sgv̋:’i,When it’s time for them to play ball‚ the ball game *begins.*,Cherokee Dictionary 1975 Durbin Feeling,Anna Sixkiller,Cherokee National Treasure.
33,18f0d9281d58,Sentence_for_entry_0034.wav,ᏥᏈᏍᏓ *ᎤᏓᎾᏁᏒᎲᏍᏗ* ᎤᏚᎵ ᎠᏎᏃ ᏥᏈᏍᏗ ᏓᎬᏩᎵᏗᏓᎾ.,tsgwi̋:sda *u:da:nanè:svhv́sdi̋* ù:du:lí a:sé:hnó tsgwǐ:sdi dà:gv:walhdǐ:dá’na,She wants *to do* a lot of *shopping*‚ but the prices are too high.,Cherokee Dictionary 1975 Durbin Feeling,Anna Sixkiller,Cherokee National Treasure.
34,bcc10607bec5,Sentence_for_entry_0035.wav,*ᎠᏓᎾᏅ* ᏓᎩᎸᏫᏍᏓᏁᎰ ᎪᎩ ᏱᏄᎵᏍᏔᎾ.,*à:da:nánv̋:* dà:gilv:hwísdà:ne:hó go:gí yinű:lstana,I work in a *store* in the summer.,Cherokee Dictionary 1975 Durbin Feeling,Anna Sixkiller,Cherokee National Treasure.
35,e9c88ab9f047,Sentence_for_entry_0036.wav,ᎩᏟ ᏓᏑᏫᏍᎬ ᎤᏛᎦᎾ‚ *ᎤᏓᎾᏫᏍᏔᏅᎢ.*,gihli dà:suhwisgv̋: ù:tv̋:gà:na *ù:danâ:wstanv̌:’i*,When he heard the dog bark‚ *he ran.*,Cherokee Dictionary 1975 Durbin Feeling,Anna Sixkiller,Cherokee National Treasure.
36,22d96a109bb8,Sentence_for_entry_0037.wav,ᎩᎦᎨ ᎠᏨᏍᏛ *ᎠᏓᏁᏟᏴᎾ.*,gǐ:gáge̋ ajv̋:ysdi à:dane:*dlí:yv:nâ*,The red light just *changed.*,Cherokee Dictionary 1975 Durbin Feeling,Durbin Feeling,Cherokee National Treasure. Renowned Cherokee linguist.
37,524cdda5645e,Sentence_for_entry_0038.wav,ᏚᏯᏪᏣ ᎠᏴᎩ ᎠᎦᏘᏴ‚ ᎤᎾᎵᎢ *ᎤᏓᏁᏟᏴᏍᏔᏅᎢ.*,dù:yawe̋:ja ahyv̋:ki à:kti:yv̋: u:na:li̋:’i *ù:daně:dlí:yv̀:stanv̌:’i*,When he got tired of guarding the prisoner‚ his friend *took his place.*,Cherokee Dictionary 1975 Durbin Feeling,Anna Sixkiller,Cherokee National Treasure.
38,bff1f80467fd,Sentence_for_entry_0039.wav,*ᎠᎾᏓᏁᏟᏴᏍᏗᏍᎩ* ᏓᎾᏘᏁᎰ ᎠᎾᎳᏍᎦᎵᏍᎩ.,*anadaně:dlí:yv̀:sdi̋:sgi* dà:nhtihne:hó: analà:sgali̋:sgi,The ball players always have *substitutes.*,Cherokee Dictionary 1975 Durbin Feeling,Anna Sixkiller,Cherokee National Treasure.
39,652b9c798f88,Sentence_for_entry_0040.wav,ᎠᎵᏍᏓᏴᏗ *ᎠᏓᏁᏢ* ᏚᏁᎸ ᏧᏂᏲᏏᏍᎩ.,álsdà:yhdi *à:da:né:hlv̋:* dù:hně:lv́ ju:ni:yò:si̋:sgi,He gave a *supply* of food to the hungry.,Cherokee Dictionary 1975 Durbin Feeling,Anna Sixkiller,Cherokee National Treasure.
40,5d4126bbb7f0,Sentence_for_entry_0041.wav,ᎤᏃᎴ ᎤᏲᏍᏔᏃᏅ *ᎠᏓᏁᎸᎢ.*,u:no:lé ù:yó:stanohnv́ *à:da:ně:lv̋:’i*,A tornado destroyed a *building.*,Cherokee Dictionary 1975 Durbin Feeling,Anna Sixkiller,Cherokee National Treasure.
41,1cfb5151919b,Sentence_for_entry_0042.wav,*ᎠᏓᏅᏙ* ᏳᎴᏫᏍᏔᎾ ᎠᏲᎱᏍᎪ ᏴᏫ.,*ada:nhdo* yu:le̋:hwistana à:yo:hu:sgó yv:wi,When the *heart* stops‚ a person dies.,Cherokee Dictionary 1975 Durbin Feeling,Durbin Feeling,Cherokee National Treasure. Renowned Cherokee linguist.
42,dbf1e5075bd5,Sentence_for_entry_0043.wav,ᎦᏙ ᎤᏍᏗ *ᎭᏓᏅᏖᎭ?*,gado u:sdi *hada:nhtě:ha*,What are *you thinking about?*,Cherokee Dictionary 1975 Durbin Feeling,Anna Sixkiller,Cherokee National Treasure.
43,260d0d2013b9,Sentence_for_entry_0044.wav,ᎪᏍᏗᏊ *ᎢᏣᏓᏅᏖᏗ* ᎢᏨᏁᎭ.,gő:sdigwû *ì:jada̋:nhtehdî* ì:jv̀:neho,I’m just giving *you* something *to think about.*,Cherokee Dictionary 1975 Durbin Feeling,Durbin Feeling,Cherokee National Treasure. Renowned Cherokee linguist.
44,5f3bb772d4fb,Sentence_for_entry_0045.wav,ᎪᏍᏗ ᏥᏃᎯᏎᎸ *ᎠᏓᏅᏖᎯᎶᎠ.*,go:hű:sdi jì:no:hise:lv̋ *à:da:nhte:hí:lo’â*,*He’s considering* something I told him.,Cherokee Dictionary 1975 Durbin Feeling,Durbin Feeling,Cherokee National Treasure. Renowned Cherokee linguist.
45,4a10d2108fd7,Sentence_for_entry_0046.wav,ᏙᏯ ᎾᎥ ᏱᎦᎷᏤᎳ *ᎠᏓᏃᏴᏟᏍᏗᏍᎪᎢ.*,do:ya na’v̋ yigáluhche̋:la *à:dano:hyv:hlisdi:sgó:’i*,When you get close to a beaver‚ *it makes noise.*,Cherokee Dictionary 1975 Durbin Feeling,Anna Sixkiller,Cherokee National Treasure.
46,ea1f640ab218,Sentence_for_entry_0047.wav,ᎤᏔᎾ ᎢᎾᏓ *ᎠᏓᎾᏏᏂ.*,ű:tana i:nada *à:dansi:ni*,A big snake *is crawling.*,Cherokee Dictionary 1975 Durbin Feeling,Anna Sixkiller,Cherokee National Treasure.
47,325a2c7b3a7a,Sentence_for_entry_0048.wav,ᎠᎦᎷᎦ ᎤᏩᏂᎳ ᏡᎬᎢ *ᎤᏓᏄᏖᏲᎸᎢ.*,a:galu:ga uwa̋:hnila dluhgv̋:’i *ù:danú:te:yô:lv̌:’i*,When the twister hit the tree‚ *it twisted.*,Cherokee Dictionary 1975 Durbin Feeling,Anna Sixkiller,Cherokee National Treasure.
48,e4ff4d426719,Sentence_for_entry_0049.wav,ᏍᎪᎯ ᏧᏕᏘᏴᏓ ᎤᏁᎳᏛᎢ ᏓᎵᏆ. ᎩᎳ ᎤᏚᎸᎲ *ᎤᏓᏅᏍᏗᎢ.*,sgǒ:hi ju:de:tiyv̋:da ù:ně:ládv́: daligwa kila ù:du:lv:hv́ *u:dá’nv̀:sdi̋:yi *,He lived in Tahlequah for ten years‚ then *he* wanted to *move.*,Cherokee Dictionary 1975 Durbin Feeling,Durbin Feeling,Cherokee National Treasure. Renowned Cherokee linguist.
49,eaccbd0326fd,Sentence_for_entry_0050.wav,ᏑᏕᏘᏴᏓ ᎢᏳᏓᎵ ᎢᏤ ᏓᏆᎴᎳ *ᎠᏓᏅᏍᎪᎢ.*,su:de:tiyv̋:da iyú:da̋:li ije̋: dagwalé:la *à:danv:sgó:’i*,*He orders* a new car every year.,Cherokee Dictionary 1975 Durbin Feeling,Durbin Feeling,Cherokee National Treasure. Renowned Cherokee linguist.
50,cf5cafadd118,Sentence_for_entry_0050.wav,ᏑᏕᏘᏴᏓ ᎢᏳᏓᎵ ᎢᏤ ᏓᏆᎴᎳ ᎠᏓᏅᏍᎪᎢ.,su:de:tiyv̋:da iyú:da̋:li ije̋: dagwalé:la *à:danv:sgó:’i*,*He orders* a new car every year.,Cherokee Dictionary 1975 Durbin Feeling,Durbin Feeling,Cherokee National Treasure. Renowned Cherokee linguist.
51,ea345473e115,Sentence_for_entry_0051.wav,*ᎠᏓᏍᏓᏴᏗ * ᎠᏯᎠ ᏗᏖᎵᏙ ᏕᎬᏗᏰᎠ.,*ada:sdà:yhdi̋*à:yá’a di:te:li:dó de:gv́:dǐ:yé’a,She’s in the *kitchen* washing dishes.,Cherokee Dictionary 1975 Durbin Feeling,Durbin Feeling,Cherokee National Treasure. Renowned Cherokee linguist.
52,3b4141de7b55,Sentence_for_entry_0052.wav,Ꮭ ᎠᏎ *ᏣᏓᏍᏓᏴᏗ* ᏱᎩ‚ ᏝᎮᏃ ᏯᎩᏲᏏᎭ.,hla a:sé *jada̋:sdà:yhdi* yigi hláhe:hnó yagíyò:sǐ:ha,You don’t have *to cook‚* because I’m not hungry.,Cherokee Dictionary 1975 Durbin Feeling,Anna Sixkiller,Cherokee National Treasure.
53,3c67452c1eab,Sentence_for_entry_0053.wav,ᎢᎦᏓ ᎠᏂᏣᎳᎩ ᎤᏂᎸᏉᏗ *ᎠᏂᏓᏪᎯ* ᏧᏂᏃᎮᏗᎢ.,igá:da ani:jalagi u:ni:lv̋:kwdi *ani:dá:we̋:hi* ju:ni:hno:hehdi̋:yi,Some Cherokees like to talk about *magicians.*,Cherokee Dictionary 1975 Durbin Feeling,Russell Feeling,Cherokee Nation translation specialist.
54,2028dc45e9c6,Sentence_for_entry_0054.wav,ᏙᏳ *ᎠᏂᏓᏪᎯ* ᎨᏐ ᎢᎦᏓ ᎠᏂᏣᎳᎩ.,do:yű: *ani:dá:wé:hi* gè:só: i:gá:da ani:jalagi,Some Cherokees are very *magical.*,Cherokee Dictionary 1975 Durbin Feeling,Dennis Sixkiller,Cherokee National Treasure.
55,ff5d8fafe3be,Sentence_for_entry_0055.wav,ᎠᏥᎳ ᎪᏢᏗ *ᎠᏓᏪᎳᎩᎠ.*,ajǐ:la gő:hlvhdi *à:dawě:lági’a*,The match is *burning.*,Cherokee Dictionary 1975 Durbin Feeling,Anna Sixkiller,Cherokee National Treasure.
56,4658038b9d2c,Sentence_for_entry_0056.wav,*ᎠᏓᏪᎳᎩ* ᏍᎬ ᏚᎴᎢᏔᏅ ᎦᏐᎯᎢ.,*à:dawě:lágì*:sgv̋: dù:lé:yhtanv́ ga:sohi̋:’i,The *flame* burned his back.,Cherokee Dictionary 1975 Durbin Feeling,Anna Sixkiller,Cherokee National Treasure.
57,9f47ed9ce220,Sentence_for_entry_0057.wav,*ᎠᏓᏪᎳᎩᏍᎩ* ᎤᏃᏢᏗ ᏧᎸᏫᏍᏓᏁᎸ ᎡᏙᏓ.,*adawe:lagì:sgi* u:no:hlvhdi̋: ju:lv:hwísdà:ně:lv́ e:do:da,My dad works in a place where they make *gunpowder.*,Cherokee Dictionary 1975 Durbin Feeling,Anna Sixkiller,Cherokee National Treasure.
58,c149d7ebbf76,Sentence_for_entry_0058.wav,*ᎭᏓᏪᏐᎸᏍᏓ.* ᏙᏔᏍᏔᏰᏎᎦ.,*hadawè:so:lv̌:sda* do:tâ:staye:sê:ga,*Rest.* You’ll get exhausted.,Cherokee Dictionary 1975 Durbin Feeling,Durbin Feeling,Cherokee National Treasure. Renowned Cherokee linguist.
59,d2b62aef7491,Sentence_for_entry_0059.wav,*ᎠᏓᏫ* ᏧᏙᎢᏓ ᎠᏍᎦᏯ ᎤᏚᎵ ᏍᏓᏟᏃᎮᏗ.,*ǎ:dáwi ju*:dő:’ida asgaya ù:du:li sdahlino:hehdi̋,A man named *Adam* wants to speak to you.,Cherokee Dictionary 1975 Durbin Feeling,Anna Sixkiller,Cherokee National Treasure.
60,0e4e49a69f29,Sentence_for_entry_0060.wav,ᏣᎸᏉᏗᏍ *ᏣᏓᏬᏍᏗ?*,jalv̌:kwdís *jadawò:sdi̋*,Do *you* like to *swim?*,Cherokee Dictionary 1975 Durbin Feeling,Durbin Feeling,Cherokee National Treasure. Renowned Cherokee linguist.
61,fc8f55270f83,Sentence_for_entry_0061.wav,ᎤᏪᏴ ᎠᏆᏓᏬᏍᏗ ᎤᎪᏓ ᎠᎩᎸᏉᏓ ᏏᏃ *ᎠᏓᏬᏍᏗ*ᎨᏒᎢ.,ù:wé:yv̋: agwadawò:sdi̋: ù:gô:da à:gilv̌:kwda  si:hnó: *adawò:sdi̋* gè:sv̋:’i,I like to swim in a creek more than in a *swimming pool.*,Cherokee Dictionary 1975 Durbin Feeling,Anna Sixkiller,Cherokee National Treasure.
62,934460cbe5c8,Sentence_for_entry_0062.wav,ᎭᏢ ᏣᎩᏎ Ꮎ ᎤᎵᏑᏫᏓ *ᎠᏓᏴᎳᏛᏍᎩ?*,ha:dlv̋ jagí:sé ná u:lsű:hwidâ *adayv̋:latvsgi*,Where did you get the color *television?*,Cherokee Dictionary 1975 Durbin Feeling,Durbin Feeling,Cherokee National Treasure. Renowned Cherokee linguist.
63,cd89d1b564f2,Sentence_for_entry_0063.wav,ᎢᏤ ᏗᎪᏪᎶᏗ *ᎤᏕᎸ* ᏗᏕᏠᏆᏍᎩ.,ije̋: digo:hwe̋:lò:di *ù:dé:lv́* di:de̋:hlohgwà:sgi,*He gave* the student a new pencil.,Cherokee Dictionary 1975 Durbin Feeling,Anna Sixkiller,Cherokee National Treasure.
64,9.93E+20,Sentence_for_entry_0064.wav,ᎠᎯᏓᏍ *ᎠᏕᏠᏆᏍᏗ* ᏣᎳᎩ ᎦᏬᏂᎯᏍᏗ?,ahi̋:dás *ade:hlohgwà:sdi̋* jalagi gawò:ni̋:hisdi,Is it easy *to learn* to speak Cherokee?,Cherokee Dictionary 1975 Durbin Feeling,Anna Sixkiller,Cherokee National Treasure.
65,9ca16eff64b2,Sentence_for_entry_0065.wav,*ᎤᏕᎰᎯᏍᏙᏗ* ᎠᏁᏟᏗᎭ.,*u:de:hǒ:hísdohdi̋* à:né:lhdiha,She’s trying *to embarrass* him.,Cherokee Dictionary 1975 Durbin Feeling,Anna Sixkiller,Cherokee National Treasure.
66,8471bcc02ce2,Sentence_for_entry_0066.wav,ᎠᎨᏳᏣ ᎤᎦᏔᏍᏓᏁᎳ *ᎤᏕᎰᏒᎢ.*,age:hyű:ja ù:ktâ:sdà:ne̋:la *ù:de:hǒ:sv́:’i*,When the girl winked at him‚ *he got embarrassed.*,Cherokee Dictionary 1975 Durbin Feeling,Anna Sixkiller,Cherokee National Treasure.
67,8ba618b82519,Sentence_for_entry_0067.wav,ᎯᏍᎩ ᏳᏩᏂᎸ ᏥᎨᏒ ᎪᎯ ᏑᎾᎴ *ᎤᏕᏅᎢ.*,hisgi yúwa:hnilv̋: jigè:sv̋: kò:hi suná:le̋: *ù:de:hnv̌:’i*,*He was born* at five o’clock this morning.,Cherokee Dictionary 1975 Durbin Feeling,Anna Sixkiller,Cherokee National Treasure.
68,3c95afd86cf4,Sentence_for_entry_0068.wav,*ᎠᏕᎳ* ᎠᎨᏳᏗ ᎨᏒ ᏗᏓᎴᏂ ᎠᏍᎦᏂ.,*adě:la* age̋:yhdi gè:sv̋: di:dále:ni asgahni,The love of *money* is the root of evil.,Cherokee Dictionary 1975 Durbin Feeling,Anna Sixkiller,Cherokee National Treasure.
