path,sentence
data/processed/sentence_audio/Sentence_for_entry_0291.wav,ateela tiiyhtii akhthiiya aakaahsuuyeehsvv'i
data/processed/sentence_audio/Sentence_for_entry_1632.wav,atsalaki uuyhvvtla 'yuuniiyvvha' lha uuyh:vtla yika'niiyiihskoo'i uuyhvvtlahskini uukvvwiyuuhsoo uuniiyiihskoo'i
data/processed/sentence_audio/Sentence_for_entry_1675.wav,sihkwa tsuulikhsi teekanvvkaliiha
data/processed/sentence_audio/Sentence_for_entry_0248.wav,ayvvwiya aatseelvvhska
data/processed/sentence_audio/Sentence_for_entry_0404.wav,uwaakheewhsvv uuhsehstohtii ookinaalii'i
data/processed/sentence_audio/Sentence_for_entry_0506.wav,hiiyooliikahs na awiina
data/processed/sentence_audio/Sentence_for_entry_0368.wav,takwaleela uunhikiihstohtii aaneelhtiiha
data/processed/sentence_audio/Sentence_for_entry_1008.wav,iina yituuhi'leena wahka hilvvhski iyuwaakhti teekaweehsoolvvhstiihskoo'i
data/processed/sentence_audio/Sentence_for_entry_0335.wav,alhsteelhtohti uuthayoolhv tiiteelhkwaahski
data/processed/sentence_audio/Sentence_for_entry_0773.wav,eenha'i aanatayvvlathvhskvv tuukhthohsti
data/processed/sentence_audio/Sentence_for_entry_1713.wav,uniihsi uuthvhihsthanvv'i
data/processed/sentence_audio/Sentence_for_entry_1076_02.wav,teekuutalv'v hs kahs anaakaliihski
data/processed/sentence_audio/Sentence_for_entry_1280.wav,tsiinawooko yuyhvvtla tooyi
data/processed/sentence_audio/Sentence_for_entry_0626.wav,ikaata tawooli anoohsta tikaayheehsti iikaatanhoo anataahihi
data/processed/sentence_audio/Sentence_for_entry_1686_01.wav,kvvnoohsahsta uulhskwalita tsiiyvvwahtha
data/processed/sentence_audio/Sentence_for_entry_0069.wav,yitsatuulahs ateelatiihtii titsalvvwhihstaanhtii'i
data/processed/sentence_audio/Sentence_for_entry_0416.wav,kato uhsti tuutaleenha'i ahskiina hseetaninho
data/processed/sentence_audio/Sentence_for_entry_0447.wav,staaya hahsoonhsta
data/processed/sentence_audio/Sentence_for_entry_1013.wav,tskwiihsti kawooniiha aahseenhoo lha koohuuhsti yatiiha
data/processed/sentence_audio/Sentence_for_entry_1310.wav,khawoonu amaayi uuniilvvkwhti
data/processed/sentence_audio/Sentence_for_entry_0303_02.wav,nikoohiilvv yvvwi taalaahsta'eehskoo'i
data/processed/sentence_audio/Sentence_for_entry_0411.wav,khiloo'ihs eeha ahskana nikeehsvvna
data/processed/sentence_audio/Sentence_for_entry_1107.wav,kato uuhsti hvvtsalhvhska
data/processed/sentence_audio/Sentence_for_entry_1334.wav,khoola tsuuniihstiikiihsti uuniilvvkwhti kiilhi
data/processed/sentence_audio/Sentence_for_entry_1270.wav,khamaama aneeyhahthahi tuuniiyhoha
data/processed/sentence_audio/Sentence_for_entry_0283_01.wav,khiloo uuyhanihskvv uuthvvkaana uukhthahvvhsvv'i
data/processed/sentence_audio/Sentence_for_entry_1330.wav,aniikhooteehski koohuuhsti tiikwvvnhi
data/processed/sentence_audio/Sentence_for_entry_0230.wav,hahthvvkii'ahs aayhvvtakwaloohskv
data/processed/sentence_audio/Sentence_for_entry_0180.wav,alhiiloohsti eehskitiihsi
data/processed/sentence_audio/Sentence_for_entry_1421.wav,sahkhoonikee uulhsuuwhita uulhstuula
data/processed/sentence_audio/Sentence_for_entry_1078.wav,kuuku teekvvwayooteehsti kiilhi
data/processed/sentence_audio/Sentence_for_entry_0532.wav,tso'i tsuuteethiyvvta tsiyohski keehsvv'i
data/processed/sentence_audio/Sentence_for_entry_0807.wav,aahsiila'tvv ka'tvv anhawo uutoohsvv'i
data/processed/sentence_audio/Sentence_for_entry_0260.wav,khaawhi uutiilheki aatsoothahska
data/processed/sentence_audio/Sentence_for_entry_0170.wav,koohuuhsti kalhsta ahi'lvvhstii'i
data/processed/sentence_audio/Sentence_for_entry_1378.wav,nuula koohuuhsti kvvnoohsehti aakwatuuli
data/processed/sentence_audio/Sentence_for_entry_1399.wav,tootalv kalvvla'ti aaneeho awooha'li
data/processed/sentence_audio/Sentence_for_entry_1516.wav,uutaatooliihstohti aatsiithayoohseelee'i
data/processed/sentence_audio/Sentence_for_entry_0270.wav,tsiiyvhtseeni aakweehihstaaneehv iyuuhsti hseekaatsvv tsikihska
data/processed/sentence_audio/Sentence_for_entry_0831.wav,nihi kalhkwookiinee keehseehsti
data/processed/sentence_audio/Sentence_for_entry_0133_01.wav,ateela uukooha kaatoohi aahvv uukiihsvv'i
data/processed/sentence_audio/Sentence_for_entry_0989.wav,kaahsanaali tayuuleenvvhv aataweelakiihskv na kalhtsoote tsuukonhvv'i
data/processed/sentence_audio/Sentence_for_entry_0375.wav,tsuunateelhkwaahstii taateeyhoohvhsko aniineeli
data/processed/sentence_audio/Sentence_for_entry_1785.wav,kiilhi uunhaalvvhi uuweekhaha
data/processed/sentence_audio/Sentence_for_entry_1615.wav,uuniinhaahsuka teekatee'a
data/processed/sentence_audio/Sentence_for_entry_1537.wav,sunaale utli witsateehsv na uuyoo kalhtvv'i
data/processed/sentence_audio/Sentence_for_entry_0132.wav,tsuutootakwvvta hseelu kaatu uuniikiihsti uuniilvvkwhta aniitsalaki
data/processed/sentence_audio/Sentence_for_entry_1020.wav,kaayoolhi khaawhi hskitliihstaahsi
data/processed/sentence_audio/Sentence_for_entry_1211.wav,iikaata tsiihskwa tsukaanowvv waniiloohsko koola yinuulhsthana
data/processed/sentence_audio/Sentence_for_entry_0841.wav,tsuuniilvvwhihstaaneehi nvvya taaniilhvhska kaatoohi aathaleehsvv'i
data/processed/sentence_audio/Sentence_for_entry_0044.wav,koohstikwu iitsataanhthehti iitsvvneho
data/processed/sentence_audio/Sentence_for_entry_1672.wav,uuliiwhootsvv'ihs na iinata
data/processed/sentence_audio/Sentence_for_entry_1174.wav,itsee'iyuuhsti aataaneelv kaneela ookinaalii'i
data/processed/sentence_audio/Sentence_for_entry_1701.wav,uunaaloo'itahs anhawo thineehsi
data/processed/sentence_audio/Sentence_for_entry_1433.wav,setani titsatloohsv nikeehsvvn yiki khoohi iika eeliikwu iitsuulaaha yihstaa'i
data/processed/sentence_audio/Sentence_for_entry_0377.wav,tso'i tsuuteethiyvvta aakiyvvlhvv aniiyohskii'i
data/processed/sentence_audio/Sentence_for_entry_0124.wav,hi'a ahskaya aahsee akaahsuuyeeta uwoonihihstii'i
data/processed/sentence_audio/Sentence_for_entry_0958_01.wav,na tsiiyu kanooyvvka
data/processed/sentence_audio/Sentence_for_entry_0361.wav,tsuunootuuhi aanataakoonathtiihskv uutheela'tvv'i
data/processed/sentence_audio/Sentence_for_entry_1208.wav,tsoohstataanhvvlhi uulvvkwhti tsiihstu tsuuyhstii'i
data/processed/sentence_audio/Sentence_for_entry_0817.wav,kaatu uukanaahsta uuwaatuunhv uweetsi atshuutsa uuteethiyiihskvv'i
data/processed/sentence_audio/Sentence_for_entry_1327.wav,eeliikwuuhs khiloo yaakhinoohihs nikalhsthanvhskv
data/processed/sentence_audio/Sentence_for_entry_1365.wav,nhvnhtaki waatsi hsi amaayi winitsateethinvvna
data/processed/sentence_audio/Sentence_for_entry_1066.wav,kooleehi uutlvvka kanakhthi
data/processed/sentence_audio/Sentence_for_entry_0728.wav,wikanvvnhvv tlvv tsiteekatlohsv
data/processed/sentence_audio/Sentence_for_entry_1828.wav,wahka hawiiya akilvvkwhti akikiihstii'i
data/processed/sentence_audio/Sentence_for_entry_1007.wav,toohiyuu uulvvkwhti uweelhvvti
data/processed/sentence_audio/Sentence_for_entry_0660.wav,tiitaaniihsohti tuuniilvvwhihstaanee aniihskay kanuula aaniikaalhska
data/processed/sentence_audio/Sentence_for_entry_1010.wav,koohuuhsti eetsahthvvtvvnhvv hawoohiliiyvvhsvv'i
data/processed/sentence_audio/Sentence_for_entry_0827.wav,tikaahathtituuwhthanv keethvhsti taahstluuhskvv'i
data/processed/sentence_audio/Sentence_for_entry_0652.wav,tiitaalhiiloohstiihski uuluhtsv aanalaahskaliihskvv'i
data/processed/sentence_audio/Sentence_for_entry_0092.wav,uutleetshehti uutuulvvhv aahseehskini lha vvhski yinuutvvneelee'i
data/processed/sentence_audio/Sentence_for_entry_1446.wav,tiihskweenhvv kvvhti uunalhilv aniitshuutsa
data/processed/sentence_audio/Sentence_for_entry_0922.wav,kaneetsi uwaanhilv hskwaalheehsti
data/processed/sentence_audio/Sentence_for_entry_1006.wav,tiitaalhiiloohsthanv kathvhska
data/processed/sentence_audio/Sentence_for_entry_0417.wav,kato uuhsti tskiitse uhsv tsikeehsvv'i
data/processed/sentence_audio/Sentence_for_entry_0707.wav,tiitse tiikwhanyoohstituuyoohuuhsi
data/processed/sentence_audio/Sentence_for_entry_1779.wav,hilaa tsuukvvwalhti hsaakwu iithalatu tsuweetsi
data/processed/sentence_audio/Sentence_for_entry_0332.wav,halhsalatvvka lheeka
data/processed/sentence_audio/Sentence_for_entry_0504.wav,tsuunootuuhi aniitsiilvvhski taathvhihstiihskoo'i
data/processed/sentence_audio/Sentence_for_entry_0259.wav,atsiil koolhvhti kvhti uutsiihslhanv kookhsti
data/processed/sentence_audio/Sentence_for_entry_0026.wav,tshaneeliinee tikhanowatvvhsti lheehsti tsataayhooneelvv'i aatiiha
data/processed/sentence_audio/Sentence_for_entry_0221_02.wav,haalhv hiiyanvvhe hi'a kiilhi
data/processed/sentence_audio/Sentence_for_entry_0290.wav,skikhthiiyeehsti khilakwu tvtsiluhtsi
data/processed/sentence_audio/Sentence_for_entry_0695.wav,tiiyhvvkiihsti nituuwaanhti tuulaahsuulhv'i
data/processed/sentence_audio/Sentence_for_entry_0630.wav,teekalhti khalii tuuwuutheehse hsohi
data/processed/sentence_audio/Sentence_for_entry_1725.wav,uuhstaayvvhvhski uuteethiyiihskv uuhstaayvvnhvv'i
data/processed/sentence_audio/Sentence_for_entry_1656.wav,uutiilhehkikwu uukhathvv'i
data/processed/sentence_audio/Sentence_for_entry_0185.wav,skwaalheehsti uuwaanhila tsolani uulhkhootvvnhvv'i
data/processed/sentence_audio/Sentence_for_entry_0136.wav,akiina uuwaakhaha hsookwili akwatseeli
data/processed/sentence_audio/Sentence_for_entry_1023_02.wav,uunaliikoohsvv uunataalhoohsa uuneelhunhv analaahskaliihski
data/processed/sentence_audio/Sentence_for_entry_1141.wav,lhawoothu uunvvliiye'v aanhvvwiihskvv khantsiihsteetsi uwaatsvvyhvv'i
data/processed/sentence_audio/Sentence_for_entry_1789.wav,uweethi oohsi akaanawoohihstii'i uuha
data/processed/sentence_audio/Sentence_for_entry_0366.wav,hi'a akeeyhuutsa atshuutsanho uunaliikhti uunatuuliiha
data/processed/sentence_audio/Sentence_for_entry_0665.wav,haatlhvv tiitaathinhiitoohi iitsataalhkvv'i
data/processed/sentence_audio/Sentence_for_entry_0694.wav,kvhthanvvtohti uuwhahsvvhska tiinheehskeehski
data/processed/sentence_audio/Sentence_for_entry_1164.wav,hikhskoo iilaahsihti iikanvvhiita hsteeyita uuwhthanv wahka akiina aahslhatiihskvv'i
data/processed/sentence_audio/Sentence_for_entry_1558.wav,yhahtheena uutlvvtalvvta uutsayooha ulaahsihteeni
data/processed/sentence_audio/Sentence_for_entry_0584.wav,lhvvtatsi tiihsiinaahvhstiihski lhvvtatsi tuukhthiilvvhsvv'i
data/processed/sentence_audio/Sentence_for_entry_0869.wav,tsuuhska tluhkvv aaniiliitoo tiiniiyoolhi
data/processed/sentence_audio/Sentence_for_entry_1845.wav,tlv yeeka na'v itsuunataali tikaneelv wikaakhahvhsko uweetsi ayoolhi
data/processed/sentence_audio/Sentence_for_entry_0650.wav,tsuunataahstuuti aakaathinhvvhsv tiitaahihi aatsiniiyvvha
data/processed/sentence_audio/Sentence_for_entry_0384.wav,aniineeli tsuunhawo taahstakayhtiiha
data/processed/sentence_audio/Sentence_for_entry_1305.wav,anhawo kvhti khanaahsoolvvhstiihskoo khanhstatsi aakaanvv'i
data/processed/sentence_audio/Sentence_for_entry_0588.wav,kaako taakwhalaakiihske uhsvv tsikeehsv
data/processed/sentence_audio/Sentence_for_entry_1459.wav,skwhaniiyihs witseetaahsti nuulthanee aniiyohskii tshiiya'vv'i
data/processed/sentence_audio/Sentence_for_entry_1453_02.wav,siikwu aakwatuuli ama
data/processed/sentence_audio/Sentence_for_entry_0624.wav,tawiihskala koolhvhthanvv kaalhita uhskha uuwhahthvvhvv'i
data/processed/sentence_audio/Sentence_for_entry_1034.wav,kiikakee uulhsuuwhita wakilvvkwhtvv'i
data/processed/sentence_audio/Sentence_for_entry_1756.wav,lha yakilvvkwhta uutskwita kaalhita
data/processed/sentence_audio/Sentence_for_entry_0679.wav,tikanhsooti wituulhanhv tikeeliihski
data/processed/sentence_audio/Sentence_for_entry_0353.wav,kanuukookv ootsiineekiihsko ama okatithahsti
data/processed/sentence_audio/Sentence_for_entry_0521.wav,ama uutseewaahstohthanv aayootaalhahvv'i
data/processed/sentence_audio/Sentence_for_entry_1184.wav,iinakee wv'uuloohsv lhvvtatsi uulthiihsa
data/processed/sentence_audio/Sentence_for_entry_1011.wav,uuneekuutsvv iyuuhsti uweetsi atshuutsa nikoohiilv kawoonhtiihskoo'i
data/processed/sentence_audio/Sentence_for_entry_0391.wav,kaakama uhstiikiihstiuutuuliiha
data/processed/sentence_audio/Sentence_for_entry_1434.wav,ikaata tiihseehihstii hseeti ata tikoolhvhthanv keehsoo'i
data/processed/sentence_audio/Sentence_for_entry_0020.wav,uuthanooyeehti uutuuli aahseenhoo lha athanooyo yuwaaya
data/processed/sentence_audio/Sentence_for_entry_0113_01.wav,lhvv akweenvvhstii katvvnvv'ihstiiha
data/processed/sentence_audio/Sentence_for_entry_1819.wav,vvhskhiyhi kha'lvv keehso taaniihstayoohihvv'i
data/processed/sentence_audio/Sentence_for_entry_0466_02.wav,uulvvhsa'ti khalii uunvvti uuhsvnhvv'i
data/processed/sentence_audio/Sentence_for_entry_1800.wav,uwooyeeni kvhti uuyooliilvv'i
data/processed/sentence_audio/Sentence_for_entry_0725.wav,uutootakwata tuulvvwhihstaaneeho tlookeehsi teekaatalukiihskvv'i
data/processed/sentence_audio/Sentence_for_entry_0563.wav,yoona tuulhiiloohsthanvv'i
data/processed/sentence_audio/Sentence_for_entry_1046.wav,tskwiihsti koohiyuhti uuweeha
data/processed/sentence_audio/Sentence_for_entry_0507.wav,lha yakwaanhthe aniitha'li aniiwiinuutsa teetsaakhahvv'i
data/processed/sentence_audio/Sentence_for_entry_1406.wav,oonhi uuluhtsvv'i
data/processed/sentence_audio/Sentence_for_entry_0047.wav,uuthana iinata aatanhsiini
data/processed/sentence_audio/Sentence_for_entry_1388.wav,khuyeekwoni nvhkiinee thoo'i aaneetooho iikaata tsunilvvhstaaneehi
data/processed/sentence_audio/Sentence_for_entry_1108.wav,hilaa iiyanii'i kvvna tehinaalha'a
data/processed/sentence_audio/Sentence_for_entry_1631.wav,uuthana uuyhoona nuuwaanhti takwaleeluu'i
data/processed/sentence_audio/Sentence_for_entry_1682_01.wav,koohuuhsti uulhstaanheele tlvv weetoohv lha yi'uuluhtsee'i
data/processed/sentence_audio/Sentence_for_entry_0570.wav,taanhuukoo na'vv koolhv kaathiiyoo'i
data/processed/sentence_audio/Sentence_for_entry_0342.wav,koohuuhsti uwaanhila akhthooli uulhstvvnhilv'i
data/processed/sentence_audio/Sentence_for_entry_0935.wav,haalhv wikaloohi na kanhthaniitoohi
data/processed/sentence_audio/Sentence_for_entry_1044.wav,koohiineekoo uweetsi atshuutsa amaayi yituuniihsohtsa
data/processed/sentence_audio/Sentence_for_entry_0061.wav,uuweeyvv akwatawoohstii uukoota aakilvvkwhta hsiinhoo atawoohsti keehsvv'i
data/processed/sentence_audio/Sentence_for_entry_0372.wav,tha'li iyuulhiiloota ikoohiita aanitoona'vv'i
data/processed/sentence_audio/Sentence_for_entry_1009_01.wav,tshuhka yikvvwala'a kiilhi kawoohskoo'i
data/processed/sentence_audio/Sentence_for_entry_1678.wav,katootsuliyeetiiha
data/processed/sentence_audio/Sentence_for_entry_0794.wav,koohiikiyvv tsikeehse tiiniilookiihski hsookwili taanhtiihskee taaniitaluukiihskvv tlookeehsi
data/processed/sentence_audio/Sentence_for_entry_1810_02.wav,uutoohiyu uuyootsvv ayoolhi uuweekhaha
data/processed/sentence_audio/Sentence_for_entry_0668.wav,sonheela hskoohi iyanii'i tiinateelhkwaahski tuuniihskwa'tv khoohi kookeeyi
data/processed/sentence_audio/Sentence_for_entry_0568.wav,teekaniiwee'a akhsvvhsti uukvvwalhi
data/processed/sentence_audio/Sentence_for_entry_1285.wav,tsaakhine'ihsthanv keeliihskv
data/processed/sentence_audio/Sentence_for_entry_0810.wav,tikaathtii wakilha kaatu
data/processed/sentence_audio/Sentence_for_entry_1251.wav,kato uuhsti tsuunateelhohkwaahstii teetsateelhohkwa'ee'i
data/processed/sentence_audio/Sentence_for_entry_1023_01.wav,wayha yituuthvvkaana kiilhi keelhuhvhskoo'i
data/processed/sentence_audio/Sentence_for_entry_1370.wav,yaniiluhkikwu hsunaale nookwuule nuuniiluhtsvvnakwu yiiki
data/processed/sentence_audio/Sentence_for_entry_0678.wav,khilookhe koohuuhst tsuunootsalvht uuha
data/processed/sentence_audio/Sentence_for_entry_0087.wav,atiithohtii kvhtii aatiithahska uukama
data/processed/sentence_audio/Sentence_for_entry_1390.wav,nvvnoohi ayeelhi aa'i khiloo'i
data/processed/sentence_audio/Sentence_for_entry_0313.wav,ahani ayeelhi haleehvvka
data/processed/sentence_audio/Sentence_for_entry_1253.wav,tsuunhkiiloohsti iika teekhkiiloohskoo'i
data/processed/sentence_audio/Sentence_for_entry_1504.wav,tho niitsatvvka tuuwoohseela eelhawee nuunalihsthanvv'i
data/processed/sentence_audio/Sentence_for_entry_0642.wav,uulhtsvvtakwata tuuniinhookiihsv tiiniinhookiihski
data/processed/sentence_audio/Sentence_for_entry_1314_01.wav,hvhtlata kothvv'i‚ tooyu uutiilhehka
data/processed/sentence_audio/Sentence_for_entry_1643.wav,kaatu aanoolhvhtiihsko utsaleehsti
data/processed/sentence_audio/Sentence_for_entry_0796_01.wav,svvkhtha uwaanhsvv uukiihsti uuteehsvv'i
data/processed/sentence_audio/Sentence_for_entry_0029.wav,uweethi anhawo ahiita keehso uutaatsakalhti
data/processed/sentence_audio/Sentence_for_entry_0204.wav,tso'iihaa tikeethvhsti tuunhotlhiinvvhsv'i
data/processed/sentence_audio/Sentence_for_entry_0389.wav,kalhtsootee aanheehskeehskvv tsiihsteeliiha
data/processed/sentence_audio/Sentence_for_entry_0281.wav,kaako akhthahi nuulhsthaniitoolvv'i
data/processed/sentence_audio/Sentence_for_entry_0174.wav,kohuuhstihs alhawiitiihsk tsatuuli
data/processed/sentence_audio/Sentence_for_entry_0926.wav,suuteethiyvvta tsikeehsvv khoohi iika hstaaya uuneehsooyhsvv'i
data/processed/sentence_audio/Sentence_for_entry_0284.wav,na atshuutsa akeeyhuutsa aakhthaahstaaneeha
data/processed/sentence_audio/Sentence_for_entry_0403.wav,tooyi takeehsiihsv aahseenho to uuyhvvtla
data/processed/sentence_audio/Sentence_for_entry_0398.wav,tso'i tiihstvvhalhituukvv'i
data/processed/sentence_audio/Sentence_for_entry_0009.wav,ayo'uulhi ahskaya aatateekvv tsiikowahthiiha
data/processed/sentence_audio/Sentence_for_entry_0197.wav,aniiyvvwiyaa uuniilvvkwhti uunaanheehsti
data/processed/sentence_audio/Sentence_for_entry_1789.wav,uweethi oohsi akaanawoohihstii'i uuha
data/processed/sentence_audio/Sentence_for_entry_0745.wav,khoohstu taakhiyvvhstooyhstiihskoo'i
data/processed/sentence_audio/Sentence_for_entry_1038.wav,hi'a nikvvnha kilihsi kowheelvv'i
data/processed/sentence_audio/Sentence_for_entry_1778.wav,katoo aatvvneehvv uweenha'i nuulhsthanee'i
data/processed/sentence_audio/Sentence_for_entry_0312.wav,thaluukiihski kaakeeta uulehtohti uuneelhthanvv'i
data/processed/sentence_audio/Sentence_for_entry_1536.wav,koohuuhsti uutayvvlatha tuuwaa'ilhvv'i
data/processed/sentence_audio/Sentence_for_entry_1458.wav,skhon tiitla tikatooka tiihsuuhvhska
data/processed/sentence_audio/Sentence_for_entry_0611.wav,aniitsalaki uunatootakwiteena uhsv taaniilaawiikoo'i
data/processed/sentence_audio/Sentence_for_entry_1617.wav,hi'a uutlvvki uunhawaahstiiha
data/processed/sentence_audio/Sentence_for_entry_0639_01.wav,thuuyuunhsti'i teekvvthohii'a
data/processed/sentence_audio/Sentence_for_entry_1382.wav,iika eehi nvvta uuthana hsiinhv hsvvnooyi eehi nvvta keehsvv'i
data/processed/sentence_audio/Sentence_for_entry_0804.wav,katoohvv nititseenvvta tsuwikvvyaniihskv
data/processed/sentence_audio/Sentence_for_entry_1521.wav,khooka nikaweehskv yathvvkaana uhsv utaleehiaanatiihskoo aniitsalaki
data/processed/sentence_audio/Sentence_for_entry_1491.wav,tootatsalvvwhihstaaneeleehsihs thaliinee iika
data/processed/sentence_audio/Sentence_for_entry_1471.wav,suukeeta uwoolhvvnhonha tikaathtii wuutlhanvv'i
data/processed/sentence_audio/Sentence_for_entry_1649.wav,ilvhiyuuhs uutsiilvv tsateeta
data/processed/sentence_audio/Sentence_for_entry_0237.wav,ikaata aniiyohski aniiyhvvkhi nuunalhsthana
data/processed/sentence_audio/Sentence_for_entry_0021.wav,uutiilhehka huutalv'vvka athanooyo
data/processed/sentence_audio/Sentence_for_entry_0796_02.wav,hataki anhawo aahsiila'tvv tsika'ta'a
data/processed/sentence_audio/Sentence_for_entry_1775.wav,kalookwe uuhsvvteena aakwvvya
data/processed/sentence_audio/Sentence_for_entry_1133_01.wav,hilaa ika tsuukvvwalhti
data/processed/sentence_audio/Sentence_for_entry_0210.wav,uuhuulvvniihsti uutuliihskvv aahseenho uuhskaalvv'i
data/processed/sentence_audio/Sentence_for_entry_0759.wav,tuuyuukhtvv kvvnoohihseeha
data/processed/sentence_audio/Sentence_for_entry_0877.wav,kalookwe kanvvkaliiha
data/processed/sentence_audio/Sentence_for_entry_1287.wav,kaakoo uunheehsalhanee amalhtii'i
data/processed/sentence_audio/Sentence_for_entry_0390.wav,uuhsthihkvv aahsteeyo akeeyhuutsa
data/processed/sentence_audio/Sentence_for_entry_1071.wav,siyoo aatiiha hiiyoohseelv hiiko'vv'i
data/processed/sentence_audio/Sentence_for_entry_0516.wav,lheehsti tsihiiyeehsthani uhstii'i
data/processed/sentence_audio/Sentence_for_entry_1152.wav,katoo toothvhthani na tiiyhahtheena
data/processed/sentence_audio/Sentence_for_entry_0689.wav,tiilhanoohehtiihs uunooyhvhkv hahthvvkii
data/processed/sentence_audio/Sentence_for_entry_0249.wav,atseehsto kana'vv aanaanheehihv aniitshuutsa
data/processed/sentence_audio/Sentence_for_entry_1738.wav,yvvwi uuhskha uuwhahthvvhvv aahskoohskvv'i
data/processed/sentence_audio/Sentence_for_entry_0858.wav,skoohi niteekhtv'vv hsvvki tikaakhohti tuuwhahsvv'i
data/processed/sentence_audio/Sentence_for_entry_0234_02.wav,tsiihskwa'tv tsiiyeewiihskvv yhe'kalhi tatsiiyvhkwitvvni
data/processed/sentence_audio/Sentence_for_entry_0886_02.wav,ahiita uuloohsv aatsikooliiyee
data/processed/sentence_audio/Sentence_for_entry_0909.wav,haalhv tsaneehse tsalhstulo
data/processed/sentence_audio/Sentence_for_entry_1786.wav,uweela kvvnhihstiha
data/processed/sentence_audio/Sentence_for_entry_1736.wav,uuhsiwha thaluukiihski eehskhvhsi
data/processed/sentence_audio/Sentence_for_entry_0358.wav,amaayi withalhthatuuka
data/processed/sentence_audio/Sentence_for_entry_0898.wav,kalvvlatike whi'looka
data/processed/sentence_audio/Sentence_for_entry_1001.wav,kathti uuyoohuuhsi uunhawookii'i
data/processed/sentence_audio/Sentence_for_entry_0947.wav,ka'niiyiihski iyuulhstohtii uutuuliha
data/processed/sentence_audio/Sentence_for_entry_1193.wav,tso'i iyuulhiiloota iyuutanvvhiita uuwhiitvvhv tha'li iyuulhiiloota khanuukalhi
data/processed/sentence_audio/Sentence_for_entry_0771.wav,aniiyvvwiyaa amayeelhi aaneehiiya
data/processed/sentence_audio/Sentence_for_entry_1807.wav,amaayi hawiini uuyoohuuhseelv waatsi
data/processed/sentence_audio/Sentence_for_entry_1341.wav,khuwaaya tskwiihsti kanateeko kooki yinuulhsthana
data/processed/sentence_audio/Sentence_for_entry_0151.wav,hi'a atshuutsa akuuhsa ayvvwiyaa'i
data/processed/sentence_audio/Sentence_for_entry_0916.wav,tsateeloohoohseehs vvhskina tsaneekuutiihskv
data/processed/sentence_audio/Sentence_for_entry_1731.wav,seekaatsvv uuhsaltaanv kaakeeta nvvya
data/processed/sentence_audio/Sentence_for_entry_1226.wav,kaakoo tsuutaathinha iitsataalhkvv'i
data/processed/sentence_audio/Sentence_for_entry_1744.wav,hatlvvhskini tuuwhahskoo tsuuhsuulo
data/processed/sentence_audio/Sentence_for_entry_1545.wav,na utlvvki tskwiihsta uutiilhehvhskvv'i
